id	dialect	outcome	code	location
valid-empty	L2	valid	-	-
valid-line	L2	valid	-	-
valid-oriented-line	L2	valid	-	-
valid-arc	L2	valid	-	-
valid-spline	L2	valid	-	-
valid-dwell	L2	valid	-	-
valid-retract	L2	valid	-	-
valid-unretract	L2	valid	-	-
valid-deposit	L2	valid	-	-
valid-manual-gcode	L2	valid	-	-
invalid-version	L2	invalid	unsupported-version	version
invalid-speed-nonfinite	L2	invalid	non-finite	segments[0].speed
invalid-negative-length	L2	invalid	negative	segments[0].length
invalid-fan-range	L2	invalid	out-of-range	segments[0].fan
invalid-line-centre	L2	invalid	inconsistent-kind-fields	segments[0].kind_fields
invalid-arc-centre	L2	invalid	inconsistent-kind-fields	segments[0].kind_fields
invalid-dwell-duration	L2	invalid	inconsistent-kind-fields	segments[0].kind_fields
invalid-orientation	L2	invalid	non-unit-orientation	segments[0].orientation
invalid-control-point	L2	invalid	non-finite	segments[0].control_points
