slice,scope,primary_role,status,dependencies,closure_gate
R0,"baseline, agent contracts, graph freshness, gate inventory",delivery-lead,passed,,"agent contract validator; graph HEAD match"
R1,"architecture and L0-to-target invariant map",architect,passed,R0,"architecture status and invariant matrices"
R2,"features, typed units, validation, resolve, limits",reviewer,passed,R1,"core focused tests and contract review"
R3,"IR, codecs, streaming, bounded memory",reviewer,passed,R1,"codec/streaming tests and resource-budget review"
R4,"CAM generation, optimization, pocketing, TPMS, STEP-NC",reviewer,passed,R1,"CAM focused tests and numeric review"
R5,"simulation, verification, emit, import/lift, reports",reviewer,passed,R1,"core/report/external-target gates"
R6,"CLI and workspace support crates",reviewer,passed,R2|R3|R4|R5,"CLI and workspace gates"
R7,"Wasm, TypeScript, PyO3, Python parity",reviewer,passed,R2|R3|R4|R5,"standalone binding and SDK gates"
R8,"cloud, verify-runner, security and operations",reviewer,passed,R5,"standalone runner/cloud gates"
R9,"proofs, formal, specs, conformance and mutations",qa-assurance,passed,R2|R3|R4|R5,"formal-assurance and independent validators"
R10,"web, services, visualizers, examples, generated artifacts and docs",reviewer,passed,R6|R7|R8|R9,"package gates and evidence review"
R11,"whole-repo parity, locks, CI equivalence and residual risk",delivery-lead,passed,R6|R7|R8|R9|R10,"integration and release-drift matrix"
R12,"final review and portfolio acceptance",product-owner,passed,R11,"independent reviewer and residual-risk acceptance"
